malʲakʷ           => maraku
kʲətʷtʲə          => kituti
kʷanʲəm           => kʷanimi
ajmə              => ami
əmʲkʲə            => imiki
jəkʲə             => iki
awsʷasʲ           => asʷaʃi
mʲənʲə            => mini
jəkʲəkʷ           => ikiku
sʲəwə-sʲəwə       => ʃiwi-iwi
tʲəm-tʲəm         => timi-imi
kʲəj-kʲəj         => ki-ji
jəkʷa-jəkʷa       => ikʷa-ikʷa
sʲəmja            => ʃimʲa
kʷəpʲənʲ          => kʷipini
lʷakʷa            => rakʷa
tʲəmtʲəw          => timitʲu
mʲasʷakʷ          => mʲasʷaku
sʲalʲmaj          => ʃalima
wawanʲ            => wawani
sʷatʲə            => sʷati
pənʲətʷ           => pinitu
pəlʷpəm           => pulupumu
masʷ-masʷ         => masu-masu
jasʲ-jasʲ         => jaʃi-jaʃi
pʲakʷ-pʲakʷ       => pʲaku-jaku
palʷəj            => pari
mamʲətʷ           => mamitu
nʷakʷasʷ          => nʷakʷasu
lʲətʷnʷətʷ        => litunutu
tʷənʷ             => tunu
nʲasʷə            => nʲasʷa
ətʲəkʷ            => itiku
tʲakʷ-tʲakʷ       => tʲaku-jaku
sʲəsʲ-sʲəsʲ       => ʃiʃi-iʃi
kʷətʲə            => kʷiti
mʲasʲlʲa          => mʲaʃira
mʲawtʲatʷ         => mʲatʷatu
ammətʲ            => amamiti
nʲaj              => nʲa
kʷəlʲa            => kʷara
tʲakʲa            => tʲakʲa
wakʲakʲ           => wakʲaki
sʲamam            => ʃamama
amlʷa             => amara
kʷasʲsʲa          => kʷaʃiʃa
lʲəkʷ             => liku
wəkʷə             => wakʷa
nʲakʲa            => nʲakʲa
tʷawaj            => tʷawa
jalʲtʲə           => jaliti
məməsʲ            => mamiʃi
əlʲətʷ            => ilitu
kʷajə             => kʷa
sʲəsʷsʷə          => ʃisusu
lʲətʲakʷ          => litʲaku
tʲəkʷətʲ          => tikʷiti
wammʲətʷ          => wamamitu
kʷəkʲ             => kʷiki
anʲkʲətʲ          => anikiti
mamakʲ            => mamaki
sʲakʷpa           => ʃakupa
kʲəsʲsʲəj         => kiʃiʃi
anʷnʷam           => anunʷama
pəjjəkʷ           => paku
sʷanʷənʲ          => sʷanʷani
malʷa             => mara
mamʲaw            => mamʲa
mətʷə             => matʷa
tʲəmsʲəkʲ         => timiʃiki
tʷəwwənʷ          => tʷawunu
kʷəsʲsʲa          => kʷiʃiʃa
pəlʲwa            => para
kʷətʷnʲə          => kutuni
mawə              => mawa
əkʷmə             => ukumu
jakʲkʲa           => jakikʲa
pʲakʷwə           => pʲakʷa
əwjanʲ            => awani
əplʲəkʲ           => apiliki
wajjam            => wajama
pʲəkʷapʲ          => pikʷapi
mʲənʷətʲ          => minʷiti
lʷawamʲ           => rawami
əwkʲam            => akʷama
tʷətʷsʷətʷ        => tutusutu
tʲamʲa            => tʲamʲa
kʷawjanʷ          => kʷawanu

-asʲ              => aʃi
-nʷə              => nʷa
-kʲəj             => ki
-lʲatʲə           => rati
-kʷawa            => kʷawa
-tʲəpʲa           => tipʲa
-tʷajatʲ          => tʷajati
aw                => a
wəkʷ              => wuku
kʲasʲ             => kʲaʃi
mʲakʲ             => mʲaki
tʲəkʷə            => tikʷi
kʲəpa             => kipa
sʷamsʲa           => sʷamaʃa
pʲəkʲə            => piki
mətʲmə            => mitimi
jatʲəkʲ           => jatiki
əlʲkʲa            => ilikʲa
paja              => paja
jəmʲə             => imi
lʷatʲsʲə          => ratiʃi
kʲəsʷjə           => kisʷi
məsʲ              => miʃi
ətʷə              => atʷa
mʲətʷəkʷ          => mitʷiku
tʷəkʲə            => tʷiki
lʲənʲəm           => linimi
əsʷa              => asʷa
ətʲ-              => iti
ja-               => ja
awə-              => awa
-kʲə-             => ki
-nʷətʲ-           => nʷiti
-sʲəmʲə-          => ʃimi
-atʲtʲanʷ-        => atitʲanu
-mʲa-             => mʲa
-lʷakʷ-           => raku
-lʲanʲ-           => rani
-sʷama-           => sʷama
-pəpʲa-           => papʲa
-kʲawatʲ-         => kʲawati
-kʲətʷ-           => kitu
-sʲasʷ-           => ʃasu
-nʲa-             => nʲa
-awakʲ-           => awaki
-kʷama-           => kʷama
-tʷakʷ-           => tʷaku
-waj-             => wa
-tʷa-             => tʷa
-lʲaw-            => ra
-kʲəmʲ-           => kimi
-sʷənʲ-           => sʷini
-məkʷaj-          => makʷa
-nʲənʷ-           => ninu
-tʷamʲ-           => tʷami
-lʷaj-            => ra
-lʲə              => li
-tʲalʲ            => tʲali
-kʷaw             => kʷa
lʲajnʲa           => ranʲa
jawnʲa            => janʷa
