protoForm,english,partOfSpeech,notes,createdBy
pʲakʷwə,rotten,modifier,,Jonathan
əwjanʲ,difficult,modifier,,Jonathan
əplʲəkʲ,loud,modifier,,Keras
wajjam,satiated,modifier,,Jonathan
pʲəkʷapʲ,opaque; turbid,modifier,,Caleb
mʲənʷətʲ,pleasant-smelling,modifier,,Keras
lʷawamʲ,tame,modifier,,Magpie
əwkʲam,clean,modifier,,Caleb
tʷətʷsʷətʷ,slow,modifier,,keras
tʲamʲa,afraid,modifier,,Jonathan
kʷawjanʷ,dull,modifier,,Magpie
,absolutive,affix,,LHAB
-asʲ,ergative,affix,,LHAB
-nʷə,genitive,affix,,LHAB
-kʲəj,dative,affix,,LHAB
-lʲatʲə,instrumental,affix,,LHAB
-kʷawa,locative,affix,,LHAB
-tʲəpʲa,ablative,affix,,LHAB
-tʷajatʲ,allative,affix,,LHAB
aw,1st singular harmonic,pronoun,,LHAB
wəkʷ,1st dual harmonic exclusive,pronoun,,LHAB
kʲasʲ,1st dual disharmonic exclusive,pronoun,,LHAB
mʲakʲ,1st pural harmonic exclusive,pronoun,,LHAB
tʲəkʷə,1st plural disharmonic exclusive,pronoun,,LHAB
kʲəpa,1st dual harmonic inclusive,pronoun,,LHAB
sʷamsʲa,1st dual disharmonic inclusive,pronoun,,LHAB
pʲəkʲə,1st plural harmonic inclusive,pronoun,,LHAB
mətʲmə,1st plural disharmonic inclusive,pronoun,,LHAB
jatʲəkʲ,2nd singular harmonic,pronoun,,LHAB
əlʲkʲa,2nd singular disharmonic,pronoun,,LHAB
paja,2nd dual harmonic,pronoun,,LHAB
jəmʲə,2nd dual disharmonic,pronoun,,LHAB
lʷatʲsʲə,2nd plural harmonic,pronoun,,LHAB
kʲəsʷjə,2nd plural disharmonic,pronoun,,LHAB
məsʲ,3rd singular harmonic,pronoun,,LHAB
ətʷə,3rd singular disharmonic,pronoun,,LHAB
mʲətʷəkʷ,3rd dual harmonic,pronoun,,LHAB
tʷəkʲə,3rd dual disharmonic,pronoun,,LHAB
lʲənʲəm,3rd plural harmonic,pronoun,,LHAB
əsʷa,3rd plural disharmonic,pronoun,,LHAB
ətʲ-,relativizer 'that Xes’,affix,-11 relativisation and deverbal morphology,LHAB
ja-,"agentive 'X-er, who Xes'",affix,-11 relativisation and deverbal morphology,LHAB
awə-,nominalisation 'x-ing',affix,-11 relativisation and deverbal morphology,LHAB
-kʲə-,sequential 'after-X',affix,-11 relativisation and deverbal morphology,LHAB
-nʷətʲ-,"while X, simultaneous",affix,-11 relativisation and deverbal morphology,LHAB
-sʲəmʲə-,inchoative,affix,-11 relativisation and deverbal morphology,LHAB
-atʲtʲanʷ-,consequential,affix,-11 relativisation and deverbal morphology,LHAB
-mʲa-,interrogative,affix,-10 interrogative,LHAB
-lʷakʷ-,reflexive,affix,-9 reflexive,LHAB
-lʲanʲ-,direct non-visual,affix,-8 evidential,LHAB
-sʷama-,heresay,affix,-8 evidential,LHAB
-pəpʲa-,imperative,affix,"-7 imperative, prohibitive",LHAB
-kʲawatʲ-,prohibitive,affix,"-7 imperative, prohibitive",LHAB
-kʲətʷ-,below; under; down; inside,affix,-6 directional,LHAB
-sʲasʷ-,above; over; up; away; out,affix,-6 directional,LHAB
-nʲa-,through; alongside; by,affix,-6 directional,LHAB
-awakʲ-,optative,affix,"-5 optative, desirative",LHAB
-kʷama-,desirative,affix,"-5 optative, desirative",LHAB
-tʷakʷ-,negator,affix,-4 negative,LHAB
-waj-,not yet,affix,-4 negative,LHAB
-tʷa-,causative,affix,"-2 causative, antipassive, applicative",LHAB
-lʲaw-,antipassive,affix,"-2 causative, antipassive, applicative",LHAB
-kʲəmʲ-,comitative applicative,affix,"-2 causative, antipassive, applicative",LHAB
-sʷənʲ-,benefactive applicative,affix,"-2 causative, antipassive, applicative",LHAB
-məkʷaj-,abilitative,affix,-1 abilitative,LHAB
-nʲənʷ-,recent past (same day),affix,+2 tense,LHAB
-tʷamʲ-,distant past,affix,+2 tense,LHAB
-lʷaj-,future,affix,+2 tense,LHAB
-lʲə,continuous,affix,+3 aspect,LHAB
-tʲalʲ,cessative,affix,+3 aspect,LHAB
-kʷaw,perfective,affix,+3 aspect,LHAB
lʲajnʲa,late,modifier,,Jake
jawnʲa,early,modifier,,Caleb
